# Correspondance programmes LOLF → fonctions COFOG (CFAP)
#
# Il n'existe aucune table officielle publiée qui relie les programmes du budget
# de l'État aux fonctions de la comptabilité nationale : l'Insee opère ce
# rattachement en interne, sans le diffuser. Cette table est donc UNE
# CONSTRUCTION ÉDITORIALE de PoliticsAI. Elle est publiée ici pour être
# contestable ligne à ligne.
#
# Règle suivie : on ne descend au niveau 2 (GFxxxx) que lorsque le rattachement
# est univoque. Dans le doute, on reste au niveau 1 (GFxx), qui est presque
# toujours certain. La colonne `confiance` dit ce qu'il en est :
#   haute   — l'objet du programme correspond directement à la fonction
#   moyenne — rattachement raisonnable, mais le programme est composite
#   basse   — programme transversal ou de soutien, rattachement conventionnel
#
# Les montants, eux, ne sont jamais retouchés : ils viennent tels quels de la
# source budgétaire. Seul le rangement est de notre fait.
#
# Colonnes : programme,cofog,confiance,note
programme,cofog,confiance,note
# ————— Retraites et régimes spéciaux —————
741,GF1002,haute,Pensions civiles et militaires de retraite
742,GF1002,haute,Ouvriers des établissements industriels de l'État
198,GF1002,haute,Régimes de retraite des transports terrestres
195,GF1002,haute,Régimes de retraite des mines et de la SEITA
197,GF1002,haute,Régimes de retraite des marins
# ————— Transferts généraux —————
PSRCT,GF0108,moyenne,Prélèvement sur recettes au profit des collectivités ; une partie (FCTVA notamment) est classée ailleurs en comptabilité nationale
PSRUE,GF01,moyenne,Contribution au budget de l'Union européenne ; le niveau 2 exact est incertain
119,GF0108,haute,Concours financiers aux collectivités territoriales
122,GF0108,haute,Concours spécifiques aux collectivités
# ————— Enseignement —————
140,GF0901,haute,Enseignement public du premier degré
141,GF0902,haute,Enseignement public du second degré
139,GF09,moyenne,Enseignement privé du premier ET du second degrés : les deux niveaux sont mêlés
230,GF0906,moyenne,Vie de l'élève : santé scolaire, accompagnement, restauration
214,GF09,basse,Soutien de la politique de l'éducation nationale (fonction support)
143,GF0902,haute,Enseignement technique agricole
150,GF0904,moyenne,Formations supérieures ET recherche universitaire : la comptabilité nationale range la part recherche en recherche fondamentale — d'où une vue qui dépasse la fonction
231,GF0906,moyenne,Vie étudiante : bourses et œuvres universitaires
142,GF0904,haute,Enseignement supérieur et recherche agricoles
421,GF09,moyenne,France 2030 — enseignement et recherche
# ————— Recherche —————
172,GF0104,haute,Recherches scientifiques et technologiques pluridisciplinaires
193,GF0408,moyenne,Recherche spatiale ; rattachée à la R&D des affaires économiques
190,GF0408,moyenne,Recherche énergie et mobilité durable
192,GF0408,moyenne,Recherche en matière économique et industrielle
191,GF0204,haute,Recherche duale civile et militaire
776,GF0402,haute,Recherche appliquée en agriculture
775,GF0402,haute,Développement et transfert en agriculture
# ————— Défense —————
146,GF0201,haute,Équipement des forces
178,GF0201,haute,Préparation et emploi des forces
212,GF02,basse,Soutien de la politique de la défense (fonction support)
144,GF02,moyenne,Environnement et prospective de la politique de défense
169,GF02,moyenne,Liens entre la Nation et son armée ; inclut des pensions d'anciens combattants
158,GF10,moyenne,Indemnisation des victimes de persécutions : prestation de réparation
# ————— Ordre et sécurité —————
176,GF0301,haute,Police nationale
152,GF0301,haute,Gendarmerie nationale
207,GF0301,moyenne,Sécurité et éducation routières
751,GF0301,moyenne,Structures et dispositifs de sécurité routière
753,GF0301,moyenne,Contrôle de la circulation et du stationnement
161,GF0302,haute,Sécurité civile
107,GF0304,haute,Administration pénitentiaire
166,GF0303,haute,Justice judiciaire
101,GF0303,haute,Accès au droit et à la justice
182,GF0303,moyenne,Protection judiciaire de la jeunesse
310,GF03,basse,Conduite et pilotage de la politique de la justice (fonction support)
335,GF0303,haute,Conseil supérieur de la magistrature
165,GF0303,haute,Conseil d'État et juridictions administratives
# ————— Affaires économiques —————
203,GF0405,haute,Infrastructures et services de transports
205,GF0405,haute,Affaires maritimes et pêche
